Year,dayofyear,Avg_Hail,Avg_Rain,Avg_Rintensity_Avg,hours,Max_Rain,Min_Rain,Max_Rintensity_Avg,Min_Rintensity_Avg,Date
2016,275,0,41.29,0,0,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,1,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,2,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,3,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,4,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,5,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,6,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,7,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,8,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,9,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,2.50000066666667e-003,10,41.29,41.29,0.1166667,0,2016-10-01
2016,275,0,41.29,0,11,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,12,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,13,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,14,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,15,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,16,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,17,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,18,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,19,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,20,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,21,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,22,41.29,41.29,0,0,2016-10-01
2016,275,0,41.29,0,23,41.29,41.29,0,0,2016-10-01
2016,276,0,41.29,0,0,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,1,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,2,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,3,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,4,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,5,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,6,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,7,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,8,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,9,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,10,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,11,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,12,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,13,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,14,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,15,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,16,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,17,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,18,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,19,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,20,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,21,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,22,41.29,41.29,0,0,2016-10-02
2016,276,0,41.29,0,23,41.29,41.29,0,0,2016-10-02
2016,277,0,41.29,0,0,41.29,41.29,0,0,2016-10-03
2016,277,0,41.29,0,1,41.29,41.29,0,0,2016-10-03
2016,277,0,41.29,0,2,41.29,41.29,0,0,2016-10-03
2016,277,0,41.29,0,3,41.29,41.29,0,0,2016-10-03
2016,277,0,41.29,0,4,41.29,41.29,0,0,2016-10-03
2016,277,0,41.29,0,5,41.29,41.29,0,0,2016-10-03
2016,277,0,41.29,0,6,41.29,41.29,0,0,2016-10-03
2016,277,0,41.29,0,7,41.29,41.29,0,0,2016-10-03
2016,277,0,41.29,0,8,41.29,41.29,0,0,2016-10-03
2016,277,0,41.3003333333333,1.44444438333333e-002,9,41.31,41.29,0.3666666,0,2016-10-03
2016,277,0,41.312,0.015,10,41.32,41.31,0.3,0,2016-10-03
2016,277,0,41.3366666666667,1.49999983333333e-002,11,41.34,41.32,0.8999999,0,2016-10-03
2016,277,0,41.3451666666666,2.77777816666667e-003,12,41.35,41.34,0.08333334,0,2016-10-03
2016,277,0,41.3511666666666,1.27777783333333e-002,13,41.36,41.35,0.5666667,0,2016-10-03
2016,277,0,41.3721666666666,0.027222223,14,41.39,41.36,0.6,0,2016-10-03
2016,277,0,41.4318333333333,0.0802777785,15,41.48,41.39,0.7166666,0,2016-10-03
2016,277,0,41.489,8.33333333333333e-003,16,41.49,41.48,0.25,0,2016-10-03
2016,277,0,41.49,0,17,41.49,41.49,0,0,2016-10-03
2016,277,0,41.49,0,18,41.49,41.49,0,0,2016-10-03
2016,277,0,41.49,0,19,41.49,41.49,0,0,2016-10-03
2016,277,0,41.49,0,20,41.49,41.49,0,0,2016-10-03
2016,277,0,41.49,0,21,41.49,41.49,0,0,2016-10-03
2016,277,0,41.49,0,22,41.49,41.49,0,0,2016-10-03
2016,277,0,41.49,0,23,41.49,41.49,0,0,2016-10-03
2016,278,0,41.49,0,0,41.49,41.49,0,0,2016-10-04
2016,278,0,41.49,0,1,41.49,41.49,0,0,2016-10-04
2016,278,0,41.49,0,2,41.49,41.49,0,0,2016-10-04
2016,278,0,41.49,0,3,41.49,41.49,0,0,2016-10-04
2016,278,0,41.49,0,4,41.49,41.49,0,0,2016-10-04
2016,278,0,41.49,0,5,41.49,41.49,0,0,2016-10-04
2016,278,0,41.49,0,6,41.49,41.49,0,0,2016-10-04
2016,278,0,41.49,0,7,41.49,41.49,0,0,2016-10-04
2016,278,0,41.49,0,8,41.49,41.49,0,0,2016-10-04
2016,278,0,41.4928333333333,6.38888866666667e-003,9,41.5,41.49,0.1833333,0,2016-10-04
2016,278,0,41.5,0,10,41.5,41.5,0,0,2016-10-04
2016,278,0,41.5075,5.00000016666667e-003,11,41.51,41.5,0.2,0,2016-10-04
2016,278,0,41.51,0,12,41.51,41.51,0,0,2016-10-04
2016,278,0,41.5153333333333,2.97222233333333e-002,13,41.54,41.51,0.8333333,0,2016-10-04
2016,278,0,41.54,0.0030555555,14,41.54,41.54,0.09999999,0,2016-10-04
2016,278,0,41.5531666666666,0.0127777785,15,41.56,41.54,0.4166667,0,2016-10-04
2016,278,0,41.56,0,16,41.56,41.56,0,0,2016-10-04
2016,278,0,41.56,0,17,41.56,41.56,0,0,2016-10-04
2016,278,0,41.56,0,18,41.56,41.56,0,0,2016-10-04
2016,278,0,41.56,0,19,41.56,41.56,0,0,2016-10-04
2016,278,0,41.56,0,20,41.56,41.56,0,0,2016-10-04
2016,278,0,41.56,0,21,41.56,41.56,0,0,2016-10-04
2016,278,0,41.56,0,22,41.56,41.56,0,0,2016-10-04
2016,278,0,41.56,0,23,41.56,41.56,0,0,2016-10-04
2016,279,0,41.56,0,0,41.56,41.56,0,0,2016-10-05
2016,279,0,41.56,0,1,41.56,41.56,0,0,2016-10-05
2016,279,0,41.56,0,2,41.56,41.56,0,0,2016-10-05
2016,279,0,41.56,0,3,41.56,41.56,0,0,2016-10-05
2016,279,0,41.56,0,4,41.56,41.56,0,0,2016-10-05
2016,279,0,41.56,0,5,41.56,41.56,0,0,2016-10-05
2016,279,0,41.56,0,6,41.56,41.56,0,0,2016-10-05
2016,279,0,41.56,0,7,41.56,41.56,0,0,2016-10-05
2016,279,0,41.5638333333333,7.22222183333333e-003,8,41.57,41.56,0.3833333,0,2016-10-05
2016,279,0,41.587,1.75000013333333e-002,9,41.59,41.57,0.4166667,0,2016-10-05
2016,279,0,41.59,0,10,41.59,41.59,0,0,2016-10-05
2016,279,0,41.59,0,11,41.59,41.59,0,0,2016-10-05
2016,279,0,41.59,0,12,41.59,41.59,0,0,2016-10-05
2016,279,0,41.59,0,13,41.59,41.59,0,0,2016-10-05
2016,279,0,41.59,0,14,41.59,41.59,0,0,2016-10-05
2016,279,0,41.5903333333333,6.66666616666667e-003,15,41.6,41.59,0.3333333,0,2016-10-05
2016,279,0,41.6,0,16,41.6,41.6,0,0,2016-10-05
2016,279,0,41.6,0,17,41.6,41.6,0,0,2016-10-05
2016,279,0,41.6,0,18,41.6,41.6,0,0,2016-10-05
2016,279,0,41.6,0,19,41.6,41.6,0,0,2016-10-05
2016,279,0,41.6,0,20,41.6,41.6,0,0,2016-10-05
2016,279,0,41.6,0,21,41.6,41.6,0,0,2016-10-05
2016,279,0,41.6,0,22,41.6,41.6,0,0,2016-10-05
2016,279,0,41.6,0,23,41.6,41.6,0,0,2016-10-05
2016,280,0,41.6,0,0,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,1,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,2,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,3,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,4,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,5,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,6,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,7,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,8,41.6,41.6,0,0,2016-10-06
2016,280,0,41.6,0,9,41.6,41.6,0,0,2016-10-06
2016,280,0,41.602,2.08333333333333e-002,10,41.62,41.6,0.8166667,0,2016-10-06
2016,280,0,41.6258333333334,8.05555566666667e-003,11,41.63,41.62,0.4,0,2016-10-06
2016,280,0,41.6300000000001,0,12,41.63,41.63,0,0,2016-10-06
2016,280,0,41.6300000000001,0,13,41.63,41.63,0,0,2016-10-06
2016,280,0,41.6371666666667,1.63888883333333e-002,14,41.65,41.63,0.5,0,2016-10-06
2016,280,0,41.667,2.16666616666667e-002,15,41.67,41.65,1.083333,0,2016-10-06
2016,280,0,41.67,0,16,41.67,41.67,0,0,2016-10-06
2016,280,0,41.67,0,17,41.67,41.67,0,0,2016-10-06
2016,280,0,41.67,0,18,41.67,41.67,0,0,2016-10-06
2016,280,0,41.67,0,19,41.67,41.67,0,0,2016-10-06
2016,280,0,41.67,0,20,41.67,41.67,0,0,2016-10-06
2016,280,0,41.67,0,21,41.67,41.67,0,0,2016-10-06
2016,280,0,41.67,0,22,41.67,41.67,0,0,2016-10-06
2016,280,0,41.67,0,23,41.67,41.67,0,0,2016-10-06
2016,281,0,41.67,0,0,41.67,41.67,0,0,2016-10-07
2016,281,0,41.67,0,1,41.67,41.67,0,0,2016-10-07
2016,281,0,41.67,0,2,41.67,41.67,0,0,2016-10-07
2016,281,0,41.67,0,3,41.67,41.67,0,0,2016-10-07
2016,281,0,41.67,0,4,41.67,41.67,0,0,2016-10-07
2016,281,0,41.67,0,5,41.67,41.67,0,0,2016-10-07
2016,281,0,41.67,0,6,41.67,41.67,0,0,2016-10-07
2016,281,0,41.67,0,7,41.67,41.67,0,0,2016-10-07
2016,281,0,41.675,0.001388889,8,41.68,41.67,0.06666667,0,2016-10-07
2016,281,0,41.68,0,9,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,10,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,11,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,12,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,13,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,14,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,15,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,16,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,17,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,18,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,19,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,20,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,21,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,22,41.68,41.68,0,0,2016-10-07
2016,281,0,41.68,0,23,41.68,41.68,0,0,2016-10-07
2016,282,0,41.68,0,0,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,1,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,2,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,3,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,4,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,5,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,6,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,7,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,8,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,9,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,10,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,11,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,12,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,13,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,14,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,15,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,16,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,17,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,18,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,19,41.68,41.68,0,0,2016-10-08
2016,282,0,41.68,0,20,41.68,41.68,0,0,2016-10-08
2016,282,0,42.9141666666667,1.3891668255,21,43.09,41.68,22.21667,0,2016-10-08
2016,282,0,43.09,0,22,43.09,43.09,0,0,2016-10-08
2016,282,0,43.09,0,23,43.09,43.09,0,0,2016-10-08
2016,283,0,43.09,0,0,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,1,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,2,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,3,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,4,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,5,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,6,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,7,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,8,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,9,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,10,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,11,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,12,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,13,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,14,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,15,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,16,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,17,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,18,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,19,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,20,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,21,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,22,43.09,43.09,0,0,2016-10-09
2016,283,0,43.09,0,23,43.09,43.09,0,0,2016-10-09
2016,284,0,43.09,0,0,43.09,43.09,0,0,2016-10-10
2016,284,0,43.09,0,1,43.09,43.09,0,0,2016-10-10
2016,284,0,43.09,0,2,43.09,43.09,0,0,2016-10-10
2016,284,0,43.09,0,3,43.09,43.09,0,0,2016-10-10
2016,284,0,43.09,0,4,43.09,43.09,0,0,2016-10-10
2016,284,0,43.09,0,5,43.09,43.09,0,0,2016-10-10
2016,284,0,43.09,0,6,43.09,43.09,0,0,2016-10-10
2016,284,0,43.09,0,7,43.09,43.09,0,0,2016-10-10
2016,284,0,43.091,2.38888883333333e-002,8,43.11,43.09,0.7333333,0,2016-10-10
2016,284,0,43.11,0,9,43.11,43.11,0,0,2016-10-10
2016,284,0,43.11,0,10,43.11,43.11,0,0,2016-10-10
2016,284,0,43.11,1.66666683333333e-003,11,43.11,43.11,0.06666667,0,2016-10-10
2016,284,0,43.154,5.05555551666667e-002,12,43.17,43.11,2.05,0,2016-10-10
2016,284,0,43.17,0,13,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,14,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,15,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,16,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,17,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,18,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,19,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,20,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,21,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,22,43.17,43.17,0,0,2016-10-10
2016,284,0,43.17,0,23,43.17,43.17,0,0,2016-10-10
2016,285,0,43.17,0,0,43.17,43.17,0,0,2016-10-11
2016,285,0,43.17,0,1,43.17,43.17,0,0,2016-10-11
2016,285,0,43.17,0,2,43.17,43.17,0,0,2016-10-11
2016,285,0,43.17,0,3,43.17,43.17,0,0,2016-10-11
2016,285,0,43.17,0,4,43.17,43.17,0,0,2016-10-11
2016,285,0,43.17,5.55555666666667e-004,5,43.17,43.17,0.03333334,0,2016-10-11
2016,285,0,43.17,2.22222233333333e-003,6,43.17,43.17,0.08333334,0,2016-10-11
2016,285,0,43.17,0,7,43.17,43.17,0,0,2016-10-11
2016,285,0,43.184,1.08333333333333e-002,8,43.19,43.17,0.35,0,2016-10-11
2016,285,0,43.19,0,9,43.19,43.19,0,0,2016-10-11
2016,285,0,43.19,0,10,43.19,43.19,0,0,2016-10-11
2016,285,0,43.19,0,11,43.19,43.19,0,0,2016-10-11
2016,285,0,43.19,0,12,43.19,43.19,0,0,2016-10-11
2016,285,0,43.1983333333333,1.38888903333333e-002,13,43.2,43.19,0.5666667,0,2016-10-11
2016,285,0,43.209,2.36111106666667e-002,14,43.23,43.2,0.9333333,0,2016-10-11
2016,285,0,43.2945,0.291388889333333,15,43.53,43.23,7.55,0,2016-10-11
2016,285,0,43.5353333333333,3.86111113333333e-002,16,43.57,43.53,1.183333,0,2016-10-11
2016,285,0,43.57,0,17,43.57,43.57,0,0,2016-10-11
2016,285,0,43.57,0,18,43.57,43.57,0,0,2016-10-11
2016,285,0,43.57,0,19,43.57,43.57,0,0,2016-10-11
2016,285,0,43.7833333333333,0.256666666666667,20,43.83,43.57,8.566667,0,2016-10-11
2016,285,0,43.83,0,21,43.83,43.83,0,0,2016-10-11
2016,285,0,43.83,0,22,43.83,43.83,0,0,2016-10-11
2016,285,0,43.83,0,23,43.83,43.83,0,0,2016-10-11
2016,286,0,43.83,0,0,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,1,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,2,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,3,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,4,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,5,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,6,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,7,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,8,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,9,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,10,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,11,43.83,43.83,0,0,2016-10-12
2016,286,0,43.83,0,12,43.83,43.83,0,0,2016-10-12
2016,286,0,43.8343333333333,6.38888833333333e-003,13,43.84,43.83,0.2333333,0,2016-10-12
2016,286,0,43.871,0.2524999835,14,44.1,43.84,5.333333,0,2016-10-12
2016,286,0,44.1098333333333,3.38888883333333e-002,15,44.13,44.1,0.8333333,0,2016-10-12
2016,286,0,44.1300000000001,0,16,44.13,44.13,0,0,2016-10-12
2016,286,0,44.1300000000001,0,17,44.13,44.13,0,0,2016-10-12
2016,286,0,44.1300000000001,0,18,44.13,44.13,0,0,2016-10-12
2016,286,0,44.1300000000001,0,19,44.13,44.13,0,0,2016-10-12
2016,286,0,44.1300000000001,0,20,44.13,44.13,0,0,2016-10-12
2016,286,0,44.1300000000001,0,21,44.13,44.13,0,0,2016-10-12
2016,286,0,44.1300000000001,0,22,44.13,44.13,0,0,2016-10-12
2016,286,0,44.1300000000001,0,23,44.13,44.13,0,0,2016-10-12
2016,287,0,44.1300000000001,0,0,44.13,44.13,0,0,2016-10-13
2016,287,0,44.1300000000001,0,1,44.13,44.13,0,0,2016-10-13
2016,287,0,44.1300000000001,0,2,44.13,44.13,0,0,2016-10-13
2016,287,0,44.1300000000001,0,3,44.13,44.13,0,0,2016-10-13
2016,287,0,44.1300000000001,0,4,44.13,44.13,0,0,2016-10-13
2016,287,0,44.1303333333334,0,5,44.14,44.13,0,0,2016-10-13
