Date,Holiday
5/2/2016,Early May Bank Day 
5/9/2016,Europe Day
5/30/2016,Spring Bank Holiday
6/19/2016,Father's Day
7/12/2016,Battle of the Boyne
8/1/2016,August Bank Holiday
10/31/2016,Halloween
11/27/2016,First Advent
11/30/2016,St. Andrew's Day
12/4/2016,2nd Advent
12/11/2016,3rd Advent
12/18/2016,4th Advent
12/25/2016,Christmas
12/26/2016,2nd Day of Christmas
12/31/2016,New Year's Eve
1/1/2017,New Years
1/2/2017,New Year's Day
2/14/2017,Valentines Day
3/17/2017,St. Patrick's Day
3/26/2017,Mother's Day
